Kiosque,Ville,Implantation,Segment,Ruptures_sum,Ruptures_mean,Ruptures_min,Ruptures_max,Gravity
160475,Couronne,Dans La Rue,Presse Tabac (Hors Bar),93,32%,0,1,1
160477,Mansle,Ds Supermarche,Rayons Supermarches,34,11%,0,1,-1
160483,Mansle,Dans La Rue,Bars (Dont Tabac),0,0%,0,0,-1
160484,Vœuil-et-Giget,Boulangerie,Alimentation,0,0%,0,0,-1
160485,Ruelle-sur-Touvre,Dans La Rue,Presse Tabac (Hors Bar),3,5%,0,1,-1
160486,Champniers,Dans Culturel,Environnement Specifique,0,0%,0,0,-1
170003,Angoulins,Dans La Rue,Enseignes/Concepts,73,28%,0,1,1
170006,Archiac,Dans La Rue,Presse Et Connexes,140,51%,0,1,1
170011,Arvert,Dans La Rue,Presse Tabac (Hors Bar),43,14%,0,1,0
170014,Aulnay,Dans La Rue,Presse Librairie Papeterie,39,13%,0,1,0
170035,Burie,Ds Superette,Alimentation,12,12%,0,1,-1
170045,Clérac,Dans La Rue,Presse Et Connexes,24,18%,0,1,0
170049,Ciré-d'Aunis,Dans La Rue,Presse Tabac (Hors Bar),3,10%,0,1,-1
170052,Corme-Royal,Dans La Rue,Presse Tabac (Hors Bar),36,20%,0,1,0
170054,Courçon,Dans La Rue,Enseignes/Concepts,64,22%,0,1,0
170056,Cozes,Dans La Rue,Enseignes/Concepts,64,21%,0,1,0
170064,Fouras,Dans La Rue,Enseignes/Concepts,24,8%,0,1,-1
170065,Fouras,Dans La Rue,Presse Tabac (Hors Bar),63,21%,0,1,0
170066,Fouras,Dans La Rue,Kiosques,38,26%,0,1,1
170070,Île-d'Aix,Dans La Rue,Presse Et Connexes,35,19%,0,1,0
170074,Gémozac,Dans La Rue,Presse Tabac (Hors Bar),41,13%,0,1,0
170083,Jonzac,Dans La Rue,Presse Tabac (Hors Bar),55,18%,0,1,0
170085,Jonzac,Dans La Rue,Presse Tabac (Hors Bar),47,15%,0,1,0
170095,Mathes,Dans Un Camping,Environnement Specifique,39,32%,0,1,1
170099,Mathes,Dans Un Camping,Environnement Specifique,17,22%,0,1,0
170102,Mathes,Dans La Rue,Bars (Dont Tabac),62,24%,0,1,1
170107,Rochelle,Dans La Rue,Enseignes/Concepts,41,13%,0,1,0
170109,Ars-en-Ré,Dans La Rue,Presse Librairie Papeterie,25,8%,0,1,-1
170110,Aytré,Dans La Rue,Presse Tabac (Hors Bar),22,14%,0,1,0
170111,Aytré,Dans La Rue,Presse Tabac (Hors Bar),33,13%,0,1,-1
170114,Châtelaillon-Plage,Dans La Rue,Enseignes/Concepts,38,13%,0,1,0
170115,Châtelaillon-Plage,Dans La Rue,Presse Tabac (Hors Bar),23,7%,0,1,-1
170120,Esnandes,Dans La Rue,Bars (Dont Tabac),41,15%,0,1,0
170121,Houmeau,Dans La Rue,Presse Tabac (Hors Bar),52,21%,0,1,0
170122,Couarde-sur-Mer,Dans La Rue,Enseignes/Concepts,12,5%,0,1,-1
170124,Flotte,Dans La Rue,Presse Librairie Papeterie,24,8%,0,1,-1
170125,Flotte,Dans La Rue,Presse Librairie Papeterie,9,3%,0,1,-1
170126,Jarne,Epicerie,Presse Tabac (Hors Bar),2,17%,0,1,0
170128,Sainte-Marie-de-Ré,Dans La Rue,Presse Tabac (Hors Bar),39,13%,0,1,-1
