Date,Delivered,Sales,code_dept
08-2014,8832.0,5570.0,19
09-2014,6992.0,3718.0,19
10-2014,6687.0,3385.0,19
11-2014,5814.0,2815.0,19
12-2014,5745.0,2731.0,19
01-2015,6332.0,3048.0,19
02-2015,5104.0,2562.0,19
03-2015,5750.0,2541.0,19
04-2015,6140.0,2998.0,19
05-2015,6000.0,2731.0,19
06-2015,6182.0,2821.0,19
07-2015,8013.0,4093.0,19
08-2015,8994.0,4664.0,19
09-2015,6729.0,3087.0,19
10-2015,6462.0,2960.0,19
11-2015,6529.0,2685.0,19
12-2015,5687.0,2496.0,19
01-2016,5249.0,2127.0,19
02-2016,5374.0,2065.0,19
03-2016,5317.0,2212.0,19
04-2016,5509.0,2382.0,19
05-2016,5558.0,2307.0,19
06-2016,5911.0,2531.0,19
07-2016,7474.0,3423.0,19
08-2016,8491.0,4390.0,19
09-2016,6868.0,2633.0,19
10-2016,6181.0,2488.0,19
11-2016,6973.0,2638.0,19
12-2016,6489.0,2270.0,19
01-2014,13551.0,6985.0,20
02-2014,12467.0,6317.0,20
03-2014,14693.0,8089.0,20
04-2014,17662.0,9487.0,20
05-2014,21388.0,11403.0,20
06-2014,25769.0,15319.0,20
07-2014,39829.0,25806.0,20
08-2014,40644.0,29597.0,20
09-2014,30529.0,18551.0,20
10-2014,19783.0,9933.0,20
11-2014,13600.0,6494.0,20
12-2014,12724.0,6284.0,20
01-2015,14022.0,6836.0,20
02-2015,12448.0,6736.0,20
03-2015,12540.0,6336.0,20
04-2015,15376.0,7778.0,20
05-2015,18611.0,9926.0,20
06-2015,24869.0,14698.0,20
07-2015,34720.0,21360.0,20
08-2015,37320.0,24310.0,20
09-2015,27518.0,15428.0,20
10-2015,19164.0,9199.0,20
11-2015,15733.0,5933.0,20
12-2015,11110.0,5866.0,20
01-2016,10078.0,5026.0,20
02-2016,10287.0,5343.0,20
03-2016,10369.0,5504.0,20
04-2016,12974.0,6692.0,20
05-2016,15445.0,8166.0,20
06-2016,20659.0,12710.0,20
07-2016,31681.0,19369.0,20
08-2016,33860.0,21851.0,20
09-2016,25016.0,13893.0,20
10-2016,18049.0,8069.0,20
11-2016,16263.0,6098.0,20
12-2016,13520.0,5387.0,20
01-2014,15912.0,7645.0,21
02-2014,13746.0,7110.0,21
03-2014,15148.0,8974.0,21
04-2014,15176.0,8453.0,21
05-2014,15705.0,8119.0,21
06-2014,14332.0,7741.0,21
07-2014,17240.0,9074.0,21
08-2014,16431.0,8863.0,21
09-2014,17460.0,8966.0,21
10-2014,15848.0,8089.0,21
11-2014,14269.0,7306.0,21
12-2014,14645.0,7600.0,21
01-2015,15962.0,8407.0,21
02-2015,12614.0,7024.0,21
03-2015,13606.0,7324.0,21
04-2015,13396.0,7472.0,21
05-2015,12987.0,6995.0,21
06-2015,13860.0,7556.0,21
07-2015,14704.0,7907.0,21
08-2015,14428.0,7708.0,21
09-2015,13851.0,7024.0,21
10-2015,14971.0,7407.0,21
11-2015,14275.0,7108.0,21
12-2015,13123.0,6974.0,21
01-2016,12308.0,6265.0,21
02-2016,12575.0,6081.0,21
03-2016,12533.0,6545.0,21
04-2016,11789.0,6301.0,21
05-2016,12070.0,6270.0,21
06-2016,13284.0,6798.0,21
07-2016,13805.0,6969.0,21
08-2016,13392.0,7271.0,21
09-2016,13877.0,6647.0,21
10-2016,14572.0,6661.0,21
11-2016,14955.0,7058.0,21
12-2016,13708.0,6737.0,21
01-2014,11690.0,5857.0,22
02-2014,11790.0,5984.0,22
03-2014,13936.0,7471.0,22
04-2014,17751.0,10333.0,22
05-2014,17228.0,8221.0,22
06-2014,14235.0,7820.0,22
07-2014,28032.0,17179.0,22
08-2014,30958.0,22299.0,22
09-2014,19480.0,10652.0,22
10-2014,16945.0,8604.0,22
11-2014,13583.0,6582.0,22
12-2014,13091.0,6375.0,22
01-2015,12628.0,6366.0,22
02-2015,11973.0,6314.0,22
03-2015,12069.0,6166.0,22
04-2015,15403.0,8526.0,22
05-2015,14735.0,7494.0,22
06-2015,15220.0,7720.0,22
07-2015,25312.0,15687.0,22
08-2015,29498.0,18471.0,22
09-2015,16789.0,8649.0,22
10-2015,17403.0,8044.0,22
11-2015,13702.0,5912.0,22
12-2015,11719.0,6155.0,22
01-2016,10765.0,5010.0,22
02-2016,11673.0,5355.0,22
03-2016,12218.0,5859.0,22
04-2016,13214.0,7488.0,22
05-2016,12996.0,6528.0,22
06-2016,13696.0,7080.0,22
07-2016,22084.0,13536.0,22
08-2016,26602.0,16847.0,22
09-2016,17230.0,8206.0,22
10-2016,15056.0,6932.0,22
11-2016,15318.0,6268.0,22
12-2016,13469.0,6170.0,22
01-2014,2112.0,892.0,23
02-2014,1931.0,852.0,23
03-2014,2141.0,1181.0,23
04-2014,2581.0,1306.0,23
05-2014,2755.0,1259.0,23
06-2014,2230.0,1090.0,23
07-2014,3720.0,1933.0,23
08-2014,3828.0,2465.0,23
09-2014,3032.0,1399.0,23
10-2014,2755.0,1134.0,23
11-2014,2211.0,898.0,23
12-2014,2061.0,863.0,23
01-2015,2222.0,950.0,23
02-2015,1772.0,797.0,23
03-2015,1557.0,805.0,23
04-2015,2063.0,991.0,23
05-2015,2069.0,960.0,23
06-2015,2025.0,916.0,23
07-2015,2822.0,1516.0,23
08-2015,3324.0,1802.0,23
09-2015,2434.0,1014.0,23
10-2015,2461.0,1074.0,23
11-2015,2424.0,849.0,23
12-2015,1992.0,854.0,23
01-2016,1885.0,736.0,23
02-2016,1731.0,711.0,23
03-2016,1774.0,792.0,23
04-2016,1931.0,869.0,23
